stage,team1,team2,n_occurrences,p_occurs
R32,Japan,Turkey,98,0.098
R32,Italy,Mexico,96,0.096
R32,Denmark,Italy,93,0.093
R32,Ecuador,Senegal,93,0.093
R32,Germany,Norway,92,0.092
R32,Denmark,Switzerland,91,0.091
R32,South Korea,Switzerland,91,0.091
R32,Morocco,Uruguay,90,0.09
R32,Croatia,Uzbekistan,86,0.086
R32,Denmark,Spain,86,0.086
R32,Italy,South Korea,85,0.085
R32,Canada,Denmark,84,0.084
R32,France,Morocco,84,0.084
R32,Mexico,Switzerland,82,0.082
R32,Cape Verde,Scotland,77,0.077
R32,Canada,Scotland,75,0.075
R32,Croatia,DR Congo,75,0.075
R32,Cape Verde,Italy,74,0.074
R32,Cape Verde,Switzerland,74,0.074
R32,Canada,South Korea,71,0.071
R32,Egypt,Jordan,70,0.07
R32,Ukraine,United States,70,0.07
R32,Haiti,Uruguay,68,0.068
R32,Brazil,Italy,67,0.067
R32,Canada,Mexico,67,0.067
R32,Italy,South Africa,67,0.067
R32,Scotland,Spain,66,0.066
R32,Brazil,Spain,65,0.065
R32,France,Haiti,64,0.064
R32,Austria,Egypt,61,0.061
R32,France,Ivory Coast,61,0.061
R32,Germany,Senegal,61,0.061
R32,Japan,United States,61,0.061
R32,Australia,Japan,56,0.056
R32,Iran,Jordan,55,0.055
R32,Italy,Scotland,55,0.055
R32,Austria,Iran,54,0.054
R32,Brazil,Cape Verde,54,0.054
R32,France,Iran,54,0.054
R32,South Africa,Switzerland,54,0.054
R32,Algeria,Iran,53,0.053
R32,Canada,South Africa,53,0.053
R32,Germany,Italy,52,0.052
R32,Ghana,Uzbekistan,52,0.052
R32,Australia,Ukraine,49,0.049
R32,Morocco,Norway,48,0.048
R32,Denmark,Paraguay,47,0.047
R32,DR Congo,Ghana,46,0.046
R32,Iran,Spain,46,0.046
R32,Canada,Germany,45,0.045
R32,Cape Verde,Morocco,45,0.045
R32,Denmark,Ecuador,45,0.045
R32,Paraguay,Ukraine,45,0.045
R32,Austria,Spain,44,0.044
R32,Haiti,Norway,44,0.044
R32,Ivory Coast,Mexico,44,0.044
R32,Japan,Paraguay,44,0.044
R32,Algeria,Egypt,43,0.043
R32,Egypt,France,43,0.043
R32,Germany,South Korea,43,0.043
R32,Belgium,France,42,0.042
R32,Ivory Coast,Senegal,42,0.042
R32,Algeria,Spain,41,0.041
R32,Denmark,Ivory Coast,41,0.041
R32,Germany,Morocco,41,0.041
R32,Germany,Switzerland,41,0.041
R32,Mexico,Uruguay,41,0.041
R32,Germany,Mexico,39,0.039
R32,Morocco,Spain,39,0.039
R32,Ecuador,Iraq,38,0.038
R32,Brazil,Switzerland,37,0.037
R32,Denmark,Germany,37,0.037
R32,Egypt,Spain,37,0.037
R32,Ivory Coast,South Korea,37,0.037
R32,Australia,Denmark,36,0.036
R32,Australia,Germany,36,0.036
R32,Brazil,Qatar,36,0.036
R32,Brazil,France,34,0.034
R32,Canada,Cape Verde,34,0.034
R32,France,Scotland,34,0.034
R32,Mexico,Paraguay,34,0.034
R32,Senegal,Switzerland,34,0.034
R32,Ecuador,Mexico,33,0.033
R32,Ecuador,Switzerland,33,0.033
R32,Germany,Haiti,33,0.033
R32,Germany,Netherlands,33,0.033
R32,Germany,Paraguay,33,0.033
R32,Germany,Ukraine,33,0.033
R32,Italy,Ivory Coast,33,0.033
R32,Brazil,Ivory Coast,32,0.032
R32,Brazil,Norway,32,0.032
R32,Canada,Ecuador,32,0.032
R32,France,Paraguay,32,0.032
R32,Germany,Scotland,32,0.032
R32,Germany,South Africa,32,0.032
R32,Japan,Switzerland,32,0.032
R32,Paraguay,South Korea,32,0.032
R32,Saudi Arabia,Switzerland,32,0.032
R32,Scotland,Switzerland,32,0.032
R32,Denmark,United States,31,0.031
R32,Germany,United States,31,0.031
R32,Cape Verde,France,30,0.03
R32,Denmark,Senegal,30,0.03
R32,Denmark,Turkey,30,0.03
R32,France,New Zealand,30,0.03
R32,Italy,Saudi Arabia,30,0.03
R32,England,Morocco,29,0.029
R32,Germany,Japan,29,0.029
R32,Haiti,Spain,29,0.029
R32,Mexico,United States,29,0.029
R32,Norway,Scotland,29,0.029
R32,Austria,Switzerland,28,0.028
R32,Denmark,Uruguay,28,0.028
R32,Germany,Turkey,28,0.028
R32,Italy,Senegal,28,0.028
R32,Jordan,Spain,28,0.028
R32,Algeria,Brazil,26,0.026
R32,Belgium,Norway,26,0.026
R32,Brazil,Germany,26,0.026
R32,Ecuador,South Korea,26,0.026
R32,Germany,Iraq,26,0.026
R32,Senegal,Spain,26,0.026
R32,Australia,Mexico,25,0.025
R32,Australia,South Korea,25,0.025
R32,Brazil,Saudi Arabia,25,0.025
R32,Brazil,Ukraine,25,0.025
R32,Ecuador,Scotland,25,0.025
R32,Germany,Tunisia,25,0.025
R32,Italy,Uruguay,25,0.025
R32,Ivory Coast,Switzerland,25,0.025
R32,South Korea,Uruguay,25,0.025
R32,Australia,France,24,0.024
R32,Brazil,Ecuador,24,0.024
R32,Denmark,Qatar,24,0.024
R32,Switzerland,Uruguay,24,0.024
R32,Brazil,Jordan,23,0.023
R32,Cape Verde,Haiti,23,0.023
R32,Iraq,Ivory Coast,23,0.023
R32,Jordan,Switzerland,23,0.023
R32,Qatar,Scotland,23,0.023
R32,Saudi Arabia,Scotland,23,0.023
R32,Switzerland,Ukraine,23,0.023
R32,Algeria,Italy,22,0.022
R32,Algeria,Scotland,22,0.022
R32,Austria,Brazil,22,0.022
R32,Austria,Italy,22,0.022
R32,Denmark,Iran,22,0.022
R32,France,Uruguay,22,0.022
R32,Jordan,Scotland,22,0.022
R32,South Africa,Uruguay,22,0.022
R32,Australia,Ecuador,21,0.021
R32,Belgium,Spain,21,0.021
R32,Brazil,Japan,21,0.021
R32,Canada,Ivory Coast,21,0.021
R32,Curaçao,Norway,21,0.021
R32,Egypt,Norway,21,0.021
R32,Austria,Portugal,20,0.02
R32,Austria,Scotland,20,0.02
R32,Denmark,New Zealand,20,0.02
R32,France,Saudi Arabia,20,0.02
R32,France,Ukraine,20,0.02
R32,Italy,Ukraine,20,0.02
R32,Ivory Coast,Portugal,20,0.02
R32,Ivory Coast,Spain,20,0.02
R32,Norway,Spain,20,0.02
R32,South Korea,Turkey,20,0.02
R32,Brazil,Senegal,19,0.019
R32,England,Haiti,19,0.019
R32,Italy,Japan,19,0.019
R32,New Zealand,Spain,19,0.019
R32,Algeria,Switzerland,18,0.018
R32,Ecuador,United States,18,0.018
R32,England,Senegal,18,0.018
R32,France,Japan,18,0.018
R32,Germany,Qatar,18,0.018
R32,Iran,Norway,18,0.018
R32,Iraq,Scotland,18,0.018
R32,Mexico,Qatar,18,0.018
R32,Mexico,Turkey,18,0.018
R32,Switzerland,Tunisia,18,0.018
R32,Argentina,Brazil,17,0.017
R32,Brazil,Iraq,17,0.017
R32,Ecuador,Italy,17,0.017
R32,Ecuador,Paraguay,17,0.017
R32,Ecuador,Spain,17,0.017
R32,Ecuador,Turkey,17,0.017
R32,France,Turkey,17,0.017
R32,France,United States,17,0.017
R32,Iran,South Korea,17,0.017
R32,Jordan,Portugal,17,0.017
R32,Portugal,Senegal,17,0.017
R32,Argentina,Spain,16,0.016
R32,Belgium,Denmark,16,0.016
R32,Belgium,Portugal,16,0.016
R32,Egypt,Portugal,16,0.016
R32,Ivory Coast,Scotland,16,0.016
R32,Mexico,Senegal,16,0.016
R32,Morocco,Saudi Arabia,16,0.016
R32,Austria,England,15,0.015
R32,Brazil,Tunisia,15,0.015
R32,Canada,Senegal,15,0.015
R32,Curaçao,Switzerland,15,0.015
R32,Denmark,Japan,15,0.015
R32,Ecuador,Morocco,15,0.015
R32,Ecuador,Ukraine,15,0.015
R32,England,Ivory Coast,15,0.015
R32,France,Tunisia,15,0.015
R32,Italy,Morocco,15,0.015
R32,Algeria,Canada,14,0.014
R32,Argentina,Italy,14,0.014
R32,Austria,Colombia,14,0.014
R32,Denmark,Iraq,14,0.014
R32,Denmark,Norway,14,0.014
R32,Denmark,Tunisia,14,0.014
R32,Iraq,Spain,14,0.014
R32,Iraq,Switzerland,14,0.014
R32,Japan,Scotland,14,0.014
R32,New Zealand,Norway,14,0.014
R32,Scotland,Senegal,14,0.014
R32,Scotland,Ukraine,14,0.014
R32,South Korea,United States,14,0.014
R32,Argentina,Scotland,13,0.013
R32,Argentina,Switzerland,13,0.013
R32,Canada,Morocco,13,0.013
R32,Cape Verde,Norway,13,0.013
R32,Colombia,Iran,13,0.013
R32,Denmark,France,13,0.013
R32,Ecuador,Haiti,13,0.013
R32,Ecuador,South Africa,13,0.013
R32,England,Jordan,13,0.013
R32,Haiti,Saudi Arabia,13,0.013
R32,Iran,Portugal,13,0.013
R32,Iraq,Italy,13,0.013
R32,Mexico,Norway,13,0.013
R32,Norway,United States,13,0.013
R32,Norway,Uruguay,13,0.013
R32,Qatar,South Korea,13,0.013
R32,Senegal,South Korea,13,0.013
R32,Algeria,Portugal,12,0.012
R32,Austria,Canada,12,0.012
R32,Brazil,England,12,0.012
R32,Canada,Japan,12,0.012
R32,Canada,Tunisia,12,0.012
R32,Canada,Uruguay,12,0.012
R32,Colombia,Egypt,12,0.012
R32,Colombia,Ivory Coast,12,0.012
R32,Curaçao,Spain,12,0.012
R32,Denmark,Ukraine,12,0.012
R32,Ecuador,Netherlands,12,0.012
R32,France,Spain,12,0.012
R32,Iran,Mexico,12,0.012
R32,Italy,Jordan,12,0.012
R32,Morocco,Senegal,12,0.012
R32,Netherlands,Switzerland,12,0.012
R32,Belgium,South Korea,11,0.011
R32,Canada,Ukraine,11,0.011
R32,Colombia,Jordan,11,0.011
R32,Curaçao,France,11,0.011
R32,Ecuador,Tunisia,11,0.011
R32,Egypt,Mexico,11,0.011
R32,Egypt,Uruguay,11,0.011
R32,France,Netherlands,11,0.011
R32,Iraq,Mexico,11,0.011
R32,Italy,Netherlands,11,0.011
R32,Morocco,Panama,11,0.011
R32,New Zealand,South Korea,11,0.011
R32,Norway,South Korea,11,0.011
R32,Norway,Switzerland,11,0.011
R32,Norway,Ukraine,11,0.011
R32,Paraguay,South Africa,11,0.011
R32,Qatar,South Africa,11,0.011
R32,Spain,Switzerland,11,0.011
R32,Canada,Saudi Arabia,10,0.01
R32,Ecuador,Japan,10,0.01
R32,England,Iraq,10,0.01
R32,England,Scotland,10,0.01
R32,Ivory Coast,Panama,10,0.01
R32,Mexico,New Zealand,10,0.01
R32,Norway,Saudi Arabia,10,0.01
R32,Norway,Tunisia,10,0.01
R32,Senegal,Uruguay,10,0.01
R32,Algeria,Uruguay,9,0.009
R32,Australia,Norway,9,0.009
R32,Canada,Haiti,9,0.009
R32,Canada,Iraq,9,0.009
R32,Canada,Netherlands,9,0.009
R32,Denmark,Netherlands,9,0.009
R32,Ecuador,Portugal,9,0.009
R32,Iran,Uruguay,9,0.009
R32,Ivory Coast,South Africa,9,0.009
R32,Norway,Paraguay,9,0.009
R32,Panama,Scotland,9,0.009
R32,Argentina,Colombia,8,0.008
R32,Argentina,Portugal,8,0.008
R32,Brazil,Curaçao,8,0.008
R32,Canada,Jordan,8,0.008
R32,Curaçao,Scotland,8,0.008
R32,Denmark,Egypt,8,0.008
R32,Ecuador,Qatar,8,0.008
R32,Germany,Spain,8,0.008
R32,Haiti,Italy,8,0.008
R32,Ivory Coast,Ukraine,8,0.008
R32,Japan,Mexico,8,0.008
R32,New Zealand,Portugal,8,0.008
R32,Norway,Turkey,8,0.008
R32,Scotland,Tunisia,8,0.008
R32,South Africa,United States,8,0.008
R32,Algeria,Colombia,7,0.007
R32,Australia,South Africa,7,0.007
R32,Austria,Uzbekistan,7,0.007
R32,Curaçao,Denmark,7,0.007
R32,Ecuador,Uruguay,7,0.007
R32,Egypt,South Korea,7,0.007
R32,Iran,South Africa,7,0.007
R32,Italy,Spain,7,0.007
R32,Ivory Coast,Morocco,7,0.007
R32,Japan,Morocco,7,0.007
R32,Japan,South Korea,7,0.007
R32,Mexico,Ukraine,7,0.007
R32,Netherlands,Norway,7,0.007
R32,South Africa,Turkey,7,0.007
R32,Algeria,England,6,0.006
R32,Algeria,Morocco,6,0.006
R32,Algeria,Panama,6,0.006
R32,Argentina,England,6,0.006
R32,Argentina,Uruguay,6,0.006
R32,Austria,Uruguay,6,0.006
R32,Belgium,Colombia,6,0.006
R32,Cape Verde,Mexico,6,0.006
R32,Colombia,Ecuador,6,0.006
R32,Colombia,New Zealand,6,0.006
R32,Curaçao,Italy,6,0.006
R32,Curaçao,Senegal,6,0.006
R32,Egypt,Senegal,6,0.006
R32,Egypt,South Africa,6,0.006
R32,France,Switzerland,6,0.006
R32,Haiti,Panama,6,0.006
R32,Haiti,Qatar,6,0.006
R32,Haiti,Senegal,6,0.006
R32,Iran,Uzbekistan,6,0.006
R32,Ivory Coast,Uruguay,6,0.006
R32,Jordan,Uruguay,6,0.006
R32,Norway,Portugal,6,0.006
R32,Panama,Senegal,6,0.006
R32,Senegal,South Africa,6,0.006
R32,South Korea,Ukraine,6,0.006
R32,Canada,Norway,5,0.005
R32,Cape Verde,Qatar,5,0.005
R32,Cape Verde,South Korea,5,0.005
R32,Colombia,France,5,0.005
R32,Colombia,Iraq,5,0.005
R32,Croatia,Morocco,5,0.005
R32,Curaçao,England,5,0.005
R32,Curaçao,Portugal,5,0.005
R32,DR Congo,Jordan,5,0.005
R32,Ecuador,England,5,0.005
R32,Ecuador,Panama,5,0.005
R32,England,Norway,5,0.005
R32,Haiti,Iraq,5,0.005
R32,Iraq,Morocco,5,0.005
R32,Iraq,Portugal,5,0.005
R32,Iraq,Uruguay,5,0.005
R32,Italy,Tunisia,5,0.005
R32,Ivory Coast,Turkey,5,0.005
R32,Ivory Coast,United States,5,0.005
R32,Mexico,Netherlands,5,0.005
R32,Netherlands,Scotland,5,0.005
R32,New Zealand,Senegal,5,0.005
R32,New Zealand,Uruguay,5,0.005
R32,Norway,Panama,5,0.005
R32,Argentina,Canada,4,0.004
R32,Austria,Morocco,4,0.004
R32,Austria,Panama,4,0.004
R32,Belgium,Mexico,4,0.004
R32,Brazil,Netherlands,4,0.004
R32,Canada,Spain,4,0.004
R32,Colombia,Senegal,4,0.004
R32,Curaçao,Iraq,4,0.004
R32,Curaçao,South Korea,4,0.004
R32,France,Mexico,4,0.004
R32,Germany,Portugal,4,0.004
R32,Ghana,Morocco,4,0.004
R32,Haiti,Switzerland,4,0.004
R32,Iraq,South Korea,4,0.004
R32,Italy,Norway,4,0.004
R32,Jordan,Panama,4,0.004
R32,Morocco,Switzerland,4,0.004
R32,Netherlands,Senegal,4,0.004
R32,South Korea,Tunisia,4,0.004
R32,Algeria,Uzbekistan,3,0.003
R32,Argentina,DR Congo,3,0.003
R32,Australia,Ivory Coast,3,0.003
R32,Austria,Haiti,3,0.003
R32,Belgium,Senegal,3,0.003
R32,Belgium,Uruguay,3,0.003
R32,Cape Verde,Denmark,3,0.003
R32,Cape Verde,Senegal,3,0.003
R32,Cape Verde,South Africa,3,0.003
R32,Colombia,Norway,3,0.003
R32,Croatia,Haiti,3,0.003
R32,Croatia,Jordan,3,0.003
R32,Croatia,Senegal,3,0.003
R32,Ecuador,Uzbekistan,3,0.003
R32,Haiti,Japan,3,0.003
R32,Ivory Coast,Uzbekistan,3,0.003
R32,Japan,Norway,3,0.003
R32,Jordan,Morocco,3,0.003
R32,Jordan,Uzbekistan,3,0.003
R32,Mexico,Tunisia,3,0.003
R32,Morocco,Ukraine,3,0.003
R32,New Zealand,South Africa,3,0.003
R32,Qatar,Saudi Arabia,3,0.003
R32,South Africa,Tunisia,3,0.003
R32,Algeria,Croatia,2,0.002
R32,Argentina,Morocco,2,0.002
R32,Austria,Croatia,2,0.002
R32,Austria,DR Congo,2,0.002
R32,Austria,Ghana,2,0.002
R32,Belgium,Iraq,2,0.002
R32,Belgium,South Africa,2,0.002
R32,Belgium,Uzbekistan,2,0.002
R32,Canada,Curaçao,2,0.002
R32,Canada,France,2,0.002
R32,Cape Verde,Ivory Coast,2,0.002
R32,Cape Verde,New Zealand,2,0.002
R32,Colombia,Germany,2,0.002
R32,Croatia,France,2,0.002
R32,Croatia,Scotland,2,0.002
R32,Curaçao,Mexico,2,0.002
R32,Curaçao,Panama,2,0.002
R32,Curaçao,Uruguay,2,0.002
R32,Curaçao,Uzbekistan,2,0.002
R32,DR Congo,Egypt,2,0.002
R32,DR Congo,Germany,2,0.002
R32,DR Congo,Iran,2,0.002
R32,Egypt,Uzbekistan,2,0.002
R32,France,Italy,2,0.002
R32,France,Panama,2,0.002
R32,France,South Africa,2,0.002
R32,France,South Korea,2,0.002
R32,Germany,Uruguay,2,0.002
R32,Ghana,Iraq,2,0.002
R32,Ghana,Norway,2,0.002
R32,Ghana,Scotland,2,0.002
R32,Haiti,Ivory Coast,2,0.002
R32,Haiti,Jordan,2,0.002
R32,Iraq,New Zealand,2,0.002
R32,Iraq,Panama,2,0.002
R32,Iraq,South Africa,2,0.002
R32,Ivory Coast,Japan,2,0.002
R32,Ivory Coast,Qatar,2,0.002
R32,Japan,Senegal,2,0.002
R32,Japan,South Africa,2,0.002
R32,Netherlands,South Korea,2,0.002
R32,New Zealand,Uzbekistan,2,0.002
R32,Norway,South Africa,2,0.002
R32,Norway,Uzbekistan,2,0.002
R32,Paraguay,Senegal,2,0.002
R32,Qatar,Senegal,2,0.002
R32,Saudi Arabia,Senegal,2,0.002
R32,Senegal,Tunisia,2,0.002
R32,Senegal,Uzbekistan,2,0.002
R32,Algeria,DR Congo,1,0.001
R32,Algeria,Ghana,1,0.001
R32,Algeria,Haiti,1,0.001
R32,Algeria,Qatar,1,0.001
R32,Argentina,Cape Verde,1,0.001
R32,Argentina,Croatia,1,0.001
R32,Argentina,Ghana,1,0.001
R32,Argentina,Haiti,1,0.001
R32,Argentina,Panama,1,0.001
R32,Argentina,Qatar,1,0.001
R32,Australia,Senegal,1,0.001
R32,Austria,Cape Verde,1,0.001
R32,Belgium,Cape Verde,1,0.001
R32,Brazil,Croatia,1,0.001
R32,Brazil,Ghana,1,0.001
R32,Cape Verde,Curaçao,1,0.001
R32,Cape Verde,Ecuador,1,0.001
R32,Cape Verde,Egypt,1,0.001
R32,Cape Verde,Iran,1,0.001
R32,Cape Verde,Iraq,1,0.001
R32,Colombia,Curaçao,1,0.001
R32,Croatia,Ecuador,1,0.001
R32,Croatia,Iraq,1,0.001
R32,Croatia,Norway,1,0.001
R32,Curaçao,Ghana,1,0.001
R32,Curaçao,Haiti,1,0.001
R32,Curaçao,Japan,1,0.001
R32,Curaçao,Morocco,1,0.001
R32,Curaçao,Paraguay,1,0.001
R32,Curaçao,Qatar,1,0.001
R32,Curaçao,Ukraine,1,0.001
R32,Curaçao,United States,1,0.001
R32,DR Congo,France,1,0.001
R32,DR Congo,New Zealand,1,0.001
R32,DR Congo,Senegal,1,0.001
R32,Egypt,Iraq,1,0.001
R32,France,Portugal,1,0.001
R32,France,Uzbekistan,1,0.001
R32,Germany,Ghana,1,0.001
R32,Germany,Panama,1,0.001
R32,Germany,Uzbekistan,1,0.001
R32,Ghana,Ivory Coast,1,0.001
R32,Ghana,Senegal,1,0.001
R32,Haiti,Ukraine,1,0.001
R32,Iran,Iraq,1,0.001
R32,Iran,Senegal,1,0.001
R32,Iraq,Japan,1,0.001
R32,Iraq,Netherlands,1,0.001
R32,Iraq,Tunisia,1,0.001
R32,Iraq,Turkey,1,0.001
R32,Ivory Coast,Netherlands,1,0.001
R32,Ivory Coast,Paraguay,1,0.001
R32,New Zealand,Saudi Arabia,1,0.001
R32,Qatar,Tunisia,1,0.001
R32,Qatar,Ukraine,1,0.001
R32,Saudi Arabia,South Africa,1,0.001
R32,Senegal,Turkey,1,0.001
R32,Senegal,Ukraine,1,0.001
R32,Senegal,United States,1,0.001
R32,South Africa,Ukraine,1,0.001
SF,Germany,Panama,128,0.128
SF,Argentina,Turkey,124,0.124
SF,England,Germany,92,0.092
SF,Croatia,Germany,80,0.08
SF,Argentina,United States,74,0.074
SF,Germany,Spain,51,0.051
SF,Argentina,Australia,42,0.042
SF,Ecuador,Panama,41,0.041
SF,Austria,Turkey,40,0.04
SF,Ecuador,England,38,0.038
SF,Germany,Ghana,38,0.038
SF,Croatia,Ecuador,37,0.037
SF,France,Panama,29,0.029
SF,Jordan,Turkey,29,0.029
SF,Argentina,Ecuador,28,0.028
SF,Argentina,Paraguay,28,0.028
SF,Austria,United States,23,0.023
SF,Belgium,Germany,22,0.022
SF,England,France,22,0.022
SF,Argentina,Germany,21,0.021
SF,Ecuador,Spain,19,0.019
SF,Argentina,France,18,0.018
SF,Brazil,Ecuador,17,0.017
SF,Algeria,Turkey,15,0.015
SF,Algeria,United States,15,0.015
SF,Brazil,Germany,15,0.015
SF,Ecuador,Ghana,15,0.015
SF,France,Spain,15,0.015
SF,Germany,Scotland,15,0.015
SF,Argentina,Denmark,14,0.014
SF,Australia,Jordan,14,0.014
SF,Croatia,France,14,0.014
SF,Italy,Turkey,14,0.014
SF,Jordan,United States,14,0.014
SF,Brazil,Turkey,13,0.013
SF,Colombia,Germany,13,0.013
SF,Switzerland,Turkey,12,0.012
SF,Algeria,Australia,11,0.011
SF,Australia,Austria,11,0.011
SF,Germany,New Zealand,11,0.011
SF,Argentina,Netherlands,10,0.01
SF,Ecuador,Portugal,10,0.01
SF,France,Ghana,10,0.01
SF,Algeria,Paraguay,9,0.009
SF,Argentina,Ivory Coast,9,0.009
SF,Argentina,Mexico,9,0.009
SF,Austria,Germany,9,0.009
SF,England,Ivory Coast,9,0.009
SF,England,Turkey,9,0.009
SF,Italy,United States,9,0.009
SF,Spain,Turkey,9,0.009
SF,Argentina,Tunisia,8,0.008
SF,Austria,Ecuador,8,0.008
SF,Croatia,Ivory Coast,8,0.008
SF,Denmark,England,8,0.008
SF,Ivory Coast,Panama,8,0.008
SF,Jordan,Paraguay,8,0.008
SF,New Zealand,Turkey,8,0.008
SF,Argentina,South Korea,7,0.007
SF,Belgium,Ecuador,7,0.007
SF,Belgium,France,7,0.007
SF,Belgium,Turkey,7,0.007
SF,Belgium,United States,7,0.007
SF,Brazil,United States,7,0.007
SF,Ecuador,New Zealand,7,0.007
SF,Egypt,Germany,7,0.007
SF,Germany,Portugal,7,0.007
SF,Morocco,Turkey,7,0.007
SF,Spain,United States,7,0.007
SF,Australia,Switzerland,6,0.006
SF,Colombia,Ecuador,6,0.006
SF,France,Scotland,6,0.006
SF,Germany,Iran,6,0.006
SF,Italy,Panama,6,0.006
SF,Switzerland,United States,6,0.006
SF,Algeria,Germany,5,0.005
SF,Austria,Netherlands,5,0.005
SF,Canada,Turkey,5,0.005
SF,DR Congo,Germany,5,0.005
SF,Denmark,Jordan,5,0.005
SF,Denmark,Panama,5,0.005
SF,Ecuador,Italy,5,0.005
SF,Ecuador,Scotland,5,0.005
SF,Egypt,Turkey,5,0.005
SF,England,Netherlands,5,0.005
SF,England,Norway,5,0.005
SF,England,South Korea,5,0.005
SF,France,Portugal,5,0.005
SF,Iran,United States,5,0.005
SF,Italy,Paraguay,5,0.005
SF,Ivory Coast,Spain,5,0.005
SF,Norway,Panama,5,0.005
SF,Scotland,Turkey,5,0.005
SF,Scotland,United States,5,0.005
SF,Austria,Paraguay,4,0.004
SF,Austria,South Korea,4,0.004
SF,Brazil,Denmark,4,0.004
SF,Brazil,Ivory Coast,4,0.004
SF,Croatia,Norway,4,0.004
SF,Denmark,Ghana,4,0.004
SF,Ecuador,Switzerland,4,0.004
SF,Jordan,Netherlands,4,0.004
SF,Panama,South Korea,4,0.004
SF,Turkey,Uruguay,4,0.004
SF,Algeria,Denmark,3,0.003
SF,Algeria,Ecuador,3,0.003
SF,Algeria,France,3,0.003
SF,Argentina,Colombia,3,0.003
SF,Argentina,Japan,3,0.003
SF,Argentina,Norway,3,0.003
SF,Argentina,Portugal,3,0.003
SF,Australia,Belgium,3,0.003
SF,Australia,Egypt,3,0.003
SF,Australia,Italy,3,0.003
SF,Australia,Morocco,3,0.003
SF,Austria,Ivory Coast,3,0.003
SF,Brazil,France,3,0.003
SF,Brazil,Mexico,3,0.003
SF,Canada,England,3,0.003
SF,Croatia,South Africa,3,0.003
SF,Croatia,South Korea,3,0.003
SF,Croatia,Switzerland,3,0.003
SF,Denmark,Italy,3,0.003
SF,Denmark,Switzerland,3,0.003
SF,Ecuador,Egypt,3,0.003
SF,Ecuador,Jordan,3,0.003
SF,Egypt,Paraguay,3,0.003
SF,France,Italy,3,0.003
SF,France,New Zealand,3,0.003
SF,Germany,Jordan,3,0.003
SF,Ghana,Norway,3,0.003
SF,Ivory Coast,Jordan,3,0.003
SF,Paraguay,Scotland,3,0.003
SF,South Korea,Spain,3,0.003
SF,Spain,Tunisia,3,0.003
SF,Algeria,Netherlands,2,0.002
SF,Algeria,Norway,2,0.002
SF,Algeria,Portugal,2,0.002
SF,Algeria,South Korea,2,0.002
SF,Algeria,Tunisia,2,0.002
SF,Algeria,Ukraine,2,0.002
SF,Argentina,Senegal,2,0.002
SF,Australia,Brazil,2,0.002
SF,Australia,Canada,2,0.002
SF,Australia,Iran,2,0.002
SF,Australia,Scotland,2,0.002
SF,Austria,France,2,0.002
SF,Austria,Tunisia,2,0.002
SF,Belgium,Denmark,2,0.002
SF,Belgium,Ivory Coast,2,0.002
SF,Brazil,Italy,2,0.002
SF,Brazil,Paraguay,2,0.002
SF,Brazil,South Korea,2,0.002
SF,Brazil,Ukraine,2,0.002
SF,Canada,South Korea,2,0.002
SF,Colombia,France,2,0.002
SF,Croatia,Italy,2,0.002
SF,Croatia,Mexico,2,0.002
SF,Croatia,Netherlands,2,0.002
SF,Croatia,United States,2,0.002
SF,Denmark,Spain,2,0.002
SF,Denmark,Uzbekistan,2,0.002
SF,Ecuador,Uzbekistan,2,0.002
SF,England,Haiti,2,0.002
SF,England,Mexico,2,0.002
SF,England,South Africa,2,0.002
SF,England,Switzerland,2,0.002
SF,Germany,Italy,2,0.002
SF,Germany,Morocco,2,0.002
SF,Germany,Uzbekistan,2,0.002
SF,Ghana,Italy,2,0.002
SF,Iran,Turkey,2,0.002
SF,Italy,Ivory Coast,2,0.002
SF,Italy,Netherlands,2,0.002
SF,Italy,Portugal,2,0.002
SF,Italy,Spain,2,0.002
SF,Ivory Coast,Scotland,2,0.002
SF,Jordan,South Africa,2,0.002
SF,Jordan,South Korea,2,0.002
SF,Mexico,Scotland,2,0.002
SF,Mexico,Spain,2,0.002
SF,Morocco,United States,2,0.002
SF,Netherlands,Panama,2,0.002
SF,Netherlands,Switzerland,2,0.002
SF,New Zealand,Tunisia,2,0.002
SF,New Zealand,Ukraine,2,0.002
SF,New Zealand,United States,2,0.002
SF,Norway,Spain,2,0.002
SF,Panama,Tunisia,2,0.002
SF,South Africa,Spain,2,0.002
SF,South Korea,Switzerland,2,0.002
SF,Algeria,England,1,0.001
SF,Algeria,Ivory Coast,1,0.001
SF,Algeria,Japan,1,0.001
SF,Algeria,Mexico,1,0.001
SF,Argentina,South Africa,1,0.001
SF,Argentina,Ukraine,1,0.001
SF,Australia,Colombia,1,0.001
SF,Australia,Croatia,1,0.001
SF,Australia,England,1,0.001
SF,Australia,Panama,1,0.001
SF,Australia,Spain,1,0.001
SF,Australia,Uruguay,1,0.001
SF,Austria,Denmark,1,0.001
SF,Austria,Japan,1,0.001
SF,Austria,Portugal,1,0.001
SF,Austria,South Africa,1,0.001
SF,Belgium,Japan,1,0.001
SF,Belgium,Netherlands,1,0.001
SF,Belgium,Norway,1,0.001
SF,Belgium,Paraguay,1,0.001
SF,Belgium,South Korea,1,0.001
SF,Belgium,Switzerland,1,0.001
SF,Brazil,Colombia,1,0.001
SF,Brazil,Netherlands,1,0.001
SF,Brazil,New Zealand,1,0.001
SF,Brazil,Scotland,1,0.001
