date,home_team,away_team,home_score,away_score,tournament,country,neutral,is_neutral,is_home_host,home_n_rows_used,home_n_unique_players,home_gls_90_calc,home_ast_90_calc,home_xg_90_calc,home_xag_90_calc,home_prgp_90_calc,home_prgc_90_calc,home_prgr_90_calc,away_n_rows_used,away_n_unique_players,away_gls_90_calc,away_ast_90_calc,away_xg_90_calc,away_xag_90_calc,away_prgp_90_calc,away_prgc_90_calc,away_prgr_90_calc,home_has_player_features,away_has_player_features
2006-06-21,Portugal,Mexico,2,1,World Cup,Germany,True,1,0,143.0,72.0,0.12267043364037306,0.11742925110543356,0.12919636582991798,0.10887435262769314,3.741252109079823,1.9596453987957385,3.992641172396862,15.0,8.0,0.12955604879157256,0.04070179157152791,0.14285369179163665,0.04256086320976229,2.6521923779635213,0.8992772460784945,2.0134267324261543,1,1
2006-06-21,Argentina,Netherlands,0,0,World Cup,Germany,True,1,0,172.0,89.0,0.153271654238462,0.10010978720318002,0.1541241772366461,0.10038671891868028,3.770404248084686,1.4617757562015388,3.268399559912179,162.0,76.0,0.1324337274147879,0.08290764207700588,0.12884387230743607,0.08062858401933039,3.732593883808564,1.533540202947645,3.0685885026695527,1,1
2006-06-22,Brazil,Japan,4,1,World Cup,Germany,True,1,0,222.0,116.0,0.1380196945192818,0.09337597306458144,0.14097031731139587,0.09762555541886297,3.700717999976577,1.8244654065771115,3.6754088335647315,44.0,25.0,0.17029234572101554,0.09150103051322968,0.15107646153845045,0.1266637033864589,3.5825932589117393,2.2895502848961513,5.194621562256648,1,1
2006-06-22,Australia,Croatia,2,2,World Cup,Germany,True,1,0,9.0,6.0,0.009159921633463842,0.07306085596760549,0.06024246463729065,0.049286684720099415,2.2381921559964617,0.35559109768471875,1.1124943323063643,74.0,41.0,0.1357180239600128,0.08176844349772415,0.13123301888817004,0.08750790630913532,4.366268427573914,1.4325150034508007,2.726715249076713,1,1
2006-06-22,Ghana,United States,2,1,World Cup,Germany,True,1,0,60.0,33.0,0.13685733887192456,0.09599083970658127,0.13267769346888628,0.09127810996865512,2.991073431228213,2.0551749922144604,4.537720715890831,56.0,29.0,0.10929678093829127,0.10601490855937329,0.12680966758520038,0.08330955762775184,3.0648518160627054,1.6272292920755242,3.9108119355935616,1,1
2006-06-23,Switzerland,South Korea,2,0,World Cup,Germany,True,1,0,90.0,41.0,0.07621267049784097,0.06281719194491198,0.08101429504695165,0.05879992516724291,3.5578465395882315,1.2687318706565525,2.1019434348951362,20.0,9.0,0.24375091008095456,0.17548219203742066,0.1904640765928785,0.16374740660250658,4.41339208223027,1.9174397992824759,5.73209048042532,1,1
2006-06-23,Spain,Saudi Arabia,1,0,World Cup,Germany,True,1,0,865.0,438.0,0.10019779014858517,0.08675284250168772,0.10409897335344634,0.08969458069642704,3.610233407389874,1.5003535286726697,3.321712469419404,1.0,1.0,0.0,0.29411764705882354,0.05882352941176472,0.17647058823529413,5.588235294117648,2.058823529411765,10.588235294117647,1,1
2006-06-23,Ukraine,Tunisia,1,0,World Cup,Germany,True,1,0,29.0,13.0,0.16177581625714432,0.08380801094408928,0.15459638211154234,0.08844257245280984,3.2769990414044092,1.2299623736123568,3.1046156664353335,17.0,10.0,0.0717608055474189,0.07184216895436096,0.10328682069550059,0.07607297684101894,3.4052668060512694,1.3056144334432371,2.9507027833269937,1,1
2006-06-24,Argentina,Mexico,2,1,World Cup,Germany,True,1,0,172.0,89.0,0.153271654238462,0.10010978720318002,0.1541241772366461,0.10038671891868028,3.770404248084686,1.4617757562015388,3.268399559912179,15.0,8.0,0.12955604879157256,0.04070179157152791,0.14285369179163665,0.04256086320976229,2.6521923779635213,0.8992772460784945,2.0134267324261543,1,1
2006-06-24,Germany,Sweden,2,0,World Cup,Germany,False,0,1,525.0,268.0,0.12225022641252874,0.09866886945798899,0.1209851741885406,0.09484605823030534,3.3314924015104976,1.3199030296594148,3.076107048078645,75.0,38.0,0.16207248674411123,0.09003434774035127,0.15458203402871762,0.09277410745856375,2.8997427715476793,1.7493720431432838,3.909280373554858,1,1
2006-06-25,England,Ecuador,1,0,World Cup,Germany,True,1,0,425.0,216.0,0.1516985239932024,0.10801257578739792,0.1470685603575705,0.10654352014674849,3.471060570105599,1.7640561403730242,3.6087309853907525,16.0,7.0,0.04928085023936112,0.07036009494253846,0.05489536960821298,0.07918845440135666,4.595562936707287,1.411166726652129,2.1891372867836885,1,1
2006-06-25,Portugal,Netherlands,1,0,World Cup,Germany,True,1,0,143.0,72.0,0.12267043364037306,0.11742925110543356,0.12919636582991798,0.10887435262769314,3.741252109079823,1.9596453987957385,3.992641172396862,162.0,76.0,0.1324337274147879,0.08290764207700588,0.12884387230743607,0.08062858401933039,3.732593883808564,1.533540202947645,3.0685885026695527,1,1
2006-06-26,Italy,Australia,1,0,World Cup,Germany,True,1,0,453.0,223.0,0.10064542022688375,0.07184117225243414,0.09936094039366897,0.07352587098952947,2.9785588863788397,1.3805258992284988,2.901510349180325,9.0,6.0,0.009159921633463842,0.07306085596760549,0.06024246463729065,0.049286684720099415,2.2381921559964617,0.35559109768471875,1.1124943323063643,1,1
2006-06-26,Switzerland,Ukraine,0,0,World Cup,Germany,True,1,0,90.0,41.0,0.07621267049784097,0.06281719194491198,0.08101429504695165,0.05879992516724291,3.5578465395882315,1.2687318706565525,2.1019434348951362,29.0,13.0,0.16177581625714432,0.08380801094408928,0.15459638211154234,0.08844257245280984,3.2769990414044092,1.2299623736123568,3.1046156664353335,1,1
2006-06-27,Brazil,Ghana,3,0,World Cup,Germany,True,1,0,222.0,116.0,0.1380196945192818,0.09337597306458144,0.14097031731139587,0.09762555541886297,3.700717999976577,1.8244654065771115,3.6754088335647315,60.0,33.0,0.13685733887192456,0.09599083970658127,0.13267769346888628,0.09127810996865512,2.991073431228213,2.0551749922144604,4.537720715890831,1,1
2006-06-27,France,Spain,3,1,World Cup,Germany,True,1,0,669.0,339.0,0.12869348729125515,0.0914007867087706,0.13132687972170362,0.09585130596194816,3.7115302417277567,1.6459084948635068,3.5091644778295956,865.0,438.0,0.10019779014858517,0.08675284250168772,0.10409897335344634,0.08969458069642704,3.610233407389874,1.5003535286726697,3.321712469419404,1,1
2006-06-30,Germany,Argentina,1,1,World Cup,Germany,False,0,1,525.0,268.0,0.12225022641252874,0.09866886945798899,0.1209851741885406,0.09484605823030534,3.3314924015104976,1.3199030296594148,3.076107048078645,172.0,89.0,0.153271654238462,0.10010978720318002,0.1541241772366461,0.10038671891868028,3.770404248084686,1.4617757562015388,3.268399559912179,1,1
2006-06-30,Italy,Ukraine,3,0,World Cup,Germany,True,1,0,453.0,223.0,0.10064542022688375,0.07184117225243414,0.09936094039366897,0.07352587098952947,2.9785588863788397,1.3805258992284988,2.901510349180325,29.0,13.0,0.16177581625714432,0.08380801094408928,0.15459638211154234,0.08844257245280984,3.2769990414044092,1.2299623736123568,3.1046156664353335,1,1
2006-07-01,France,Brazil,1,0,World Cup,Germany,True,1,0,669.0,339.0,0.12869348729125515,0.0914007867087706,0.13132687972170362,0.09585130596194816,3.7115302417277567,1.6459084948635068,3.5091644778295956,222.0,116.0,0.1380196945192818,0.09337597306458144,0.14097031731139587,0.09762555541886297,3.700717999976577,1.8244654065771115,3.6754088335647315,1,1
2006-07-01,England,Portugal,0,0,World Cup,Germany,True,1,0,425.0,216.0,0.1516985239932024,0.10801257578739792,0.1470685603575705,0.10654352014674849,3.471060570105599,1.7640561403730242,3.6087309853907525,143.0,72.0,0.12267043364037306,0.11742925110543356,0.12919636582991798,0.10887435262769314,3.741252109079823,1.9596453987957385,3.992641172396862,1,1
2006-07-04,Germany,Italy,0,2,World Cup,Germany,False,0,1,525.0,268.0,0.12225022641252874,0.09866886945798899,0.1209851741885406,0.09484605823030534,3.3314924015104976,1.3199030296594148,3.076107048078645,453.0,223.0,0.10064542022688375,0.07184117225243414,0.09936094039366897,0.07352587098952947,2.9785588863788397,1.3805258992284988,2.901510349180325,1,1
2006-07-05,France,Portugal,1,0,World Cup,Germany,True,1,0,669.0,339.0,0.12869348729125515,0.0914007867087706,0.13132687972170362,0.09585130596194816,3.7115302417277567,1.6459084948635068,3.5091644778295956,143.0,72.0,0.12267043364037306,0.11742925110543356,0.12919636582991798,0.10887435262769314,3.741252109079823,1.9596453987957385,3.992641172396862,1,1
2006-07-08,Germany,Portugal,3,1,World Cup,Germany,False,0,1,525.0,268.0,0.12225022641252874,0.09866886945798899,0.1209851741885406,0.09484605823030534,3.3314924015104976,1.3199030296594148,3.076107048078645,143.0,72.0,0.12267043364037306,0.11742925110543356,0.12919636582991798,0.10887435262769314,3.741252109079823,1.9596453987957385,3.992641172396862,1,1
2006-07-09,France,Italy,1,1,World Cup,Germany,True,1,0,669.0,339.0,0.12869348729125515,0.0914007867087706,0.13132687972170362,0.09585130596194816,3.7115302417277567,1.6459084948635068,3.5091644778295956,453.0,223.0,0.10064542022688375,0.07184117225243414,0.09936094039366897,0.07352587098952947,2.9785588863788397,1.3805258992284988,2.901510349180325,1,1
